tweet_id,date,time,name,stage,rating_numerator,rating_denominator
892420643555336193,2017-08-01 00:00:00,2018-07-09 16:23:00,Phineas,None,13.0,10.0
892177421306343426,2017-08-01 00:00:00,2018-07-09 00:17:00,Tilly,None,13.0,10.0
891815181378084864,2017-07-31 00:00:00,2018-07-09 00:18:00,Archie,None,12.0,10.0
891689557279858688,2017-07-30 00:00:00,2018-07-09 15:58:00,Darla,None,13.0,10.0
891327558926688256,2017-07-29 00:00:00,2018-07-09 16:00:00,Franklin,None,12.0,10.0
891087950875897856,2017-07-29 00:00:00,2018-07-09 00:08:00,None,None,13.0,10.0
890971913173991426,2017-07-28 00:00:00,2018-07-09 16:27:00,Jax,None,13.0,10.0
890729181411237888,2017-07-28 00:00:00,2018-07-09 00:22:00,None,None,13.0,10.0
890609185150312448,2017-07-27 00:00:00,2018-07-09 16:25:00,Zoey,None,13.0,10.0
890240255349198849,2017-07-26 00:00:00,2018-07-09 15:59:00,Cassie,doggo,14.0,10.0
890006608113172480,2017-07-26 00:00:00,2018-07-09 00:31:00,Koda,None,13.0,10.0
889880896479866881,2017-07-25 00:00:00,2018-07-09 16:11:00,Bruno,None,13.0,10.0
889665388333682689,2017-07-25 00:00:00,2018-07-09 01:55:00,None,puppo,13.0,10.0
889638837579907072,2017-07-25 00:00:00,2018-07-09 00:10:00,Ted,None,12.0,10.0
889531135344209921,2017-07-24 00:00:00,2018-07-09 17:02:00,Stuart,puppo,13.0,10.0
889278841981685760,2017-07-24 00:00:00,2018-07-09 00:19:00,Oliver,None,13.0,10.0
888917238123831296,2017-07-23 00:00:00,2018-07-09 00:22:00,Jim,None,12.0,10.0
888804989199671297,2017-07-22 00:00:00,2018-07-09 16:56:00,Zeke,None,13.0,10.0
888554962724278272,2017-07-22 00:00:00,2018-07-09 00:23:00,Ralphus,None,13.0,10.0
888078434458587136,2017-07-20 00:00:00,2018-07-09 16:49:00,Gerald,None,12.0,10.0
887705289381826560,2017-07-19 00:00:00,2018-07-09 16:06:00,Jeffrey,None,13.0,10.0
887517139158093824,2017-07-19 00:00:00,2018-07-09 03:39:00,such,None,14.0,10.0
887473957103951883,2017-07-19 00:00:00,2018-07-09 00:47:00,Canela,None,13.0,10.0
887343217045368832,2017-07-18 00:00:00,2018-07-09 16:08:00,None,None,13.0,10.0
887101392804085760,2017-07-18 00:00:00,2018-07-09 00:07:00,None,None,12.0,10.0
886983233522544640,2017-07-17 00:00:00,2018-07-09 16:17:00,Maya,None,13.0,10.0
886736880519319552,2017-07-16 00:00:00,2018-07-09 23:58:00,Mingus,None,13.0,10.0
886680336477933568,2017-07-16 00:00:00,2018-07-09 20:14:00,Derek,None,13.0,10.0
886366144734445568,2017-07-15 00:00:00,2018-07-09 23:25:00,Roscoe,pupper,12.0,10.0
886267009285017600,2017-07-15 00:00:00,2018-07-09 16:51:00,None,None,12.0,10.0
886258384151887873,2017-07-15 00:00:00,2018-07-09 16:17:00,Waffles,None,13.0,10.0
885984800019947520,2017-07-14 00:00:00,2018-07-09 22:10:00,Jimbo,None,12.0,10.0
885528943205470208,2017-07-13 00:00:00,2018-07-09 15:58:00,Maisey,None,13.0,10.0
885518971528720385,2017-07-13 00:00:00,2018-07-09 15:19:00,None,None,14.0,10.0
885167619883638784,2017-07-12 00:00:00,2018-07-09 16:03:00,None,None,13.0,10.0
884925521741709313,2017-07-12 00:00:00,2018-07-09 00:01:00,Earl,None,12.0,10.0
884876753390489601,2017-07-11 00:00:00,2018-07-09 20:47:00,Lola,None,13.0,10.0
884562892145688576,2017-07-11 00:00:00,2018-07-09 00:00:00,Kevin,None,13.0,10.0
884441805382717440,2017-07-10 00:00:00,2018-07-09 15:58:00,None,None,14.0,10.0
884247878851493888,2017-07-10 00:00:00,2018-07-09 03:08:00,None,None,13.0,10.0
884162670584377345,2017-07-09 00:00:00,2018-07-09 21:29:00,Yogi,doggo,12.0,10.0
883838122936631299,2017-07-09 00:00:00,2018-07-09 00:00:00,Noah,None,12.0,10.0
883482846933004288,2017-07-08 00:00:00,2018-07-09 00:28:00,Bella,None,5.0,10.0
883360690899218434,2017-07-07 00:00:00,2018-07-09 16:22:00,Grizzwald,floofer,13.0,10.0
883117836046086144,2017-07-07 00:00:00,2018-07-09 00:17:00,None,None,13.0,10.0
882992080364220416,2017-07-06 00:00:00,2018-07-09 15:58:00,Rusty,None,13.0,10.0
882762694511734784,2017-07-06 00:00:00,2018-07-09 00:46:00,Gus,pupper,12.0,10.0
882627270321602560,2017-07-05 00:00:00,2018-07-09 15:48:00,Stanley,None,13.0,10.0
882268110199369728,2017-07-04 00:00:00,2018-07-09 16:01:00,Alfy,None,13.0,10.0
882045870035918850,2017-07-04 00:00:00,2018-07-09 01:18:00,Koko,None,13.0,10.0
881906580714921986,2017-07-03 00:00:00,2018-07-09 16:04:00,Rey,None,12.0,10.0
881666595344535552,2017-07-03 00:00:00,2018-07-09 00:11:00,Gary,None,13.0,10.0
881633300179243008,2017-07-02 00:00:00,2018-07-09 21:58:00,None,None,17.0,10.0
881536004380872706,2017-07-02 00:00:00,2018-07-09 15:32:00,a,pupper,14.0,10.0
881268444196462592,2017-07-01 00:00:00,2018-07-09 21:49:00,Elliot,None,12.0,10.0
880935762899988482,2017-06-30 00:00:00,2018-07-09 23:47:00,Louis,None,13.0,10.0
880872448815771648,2017-06-30 00:00:00,2018-07-09 19:35:00,None,None,12.0,10.0
880465832366813184,2017-06-29 00:00:00,2018-07-09 16:39:00,Bella,None,12.0,10.0
880221127280381952,2017-06-29 00:00:00,2018-07-09 00:27:00,Jesse,None,12.0,10.0
880095782870896641,2017-06-28 00:00:00,2018-07-09 16:09:00,None,None,11.0,10.0
879862464715927552,2017-06-28 00:00:00,2018-07-09 00:42:00,Romeo,None,13.0,10.0
879674319642796034,2017-06-27 00:00:00,2018-07-09 12:14:00,None,None,14.0,10.0
879492040517615616,2017-06-27 00:00:00,2018-07-09 00:10:00,Bailey,None,12.0,10.0
879415818425184262,2017-06-26 00:00:00,2018-07-09 19:07:00,Duddles,None,13.0,10.0
879376492567855104,2017-06-26 00:00:00,2018-07-09 16:31:00,Jack,None,12.0,10.0
879050749262655488,2017-06-25 00:00:00,2018-07-09 18:56:00,Steven,None,11.0,10.0
879008229531029506,2017-06-25 00:00:00,2018-07-09 16:07:00,Beau,None,13.0,10.0
878776093423087618,2017-06-25 00:00:00,2018-07-09 00:45:00,Snoopy,puppo,13.0,10.0
878604707211726852,2017-06-24 00:00:00,2018-07-09 13:24:00,None,None,13.0,10.0
878281511006478336,2017-06-23 00:00:00,2018-07-09 16:00:00,Shadow,None,13.0,10.0
878057613040115712,2017-06-23 00:00:00,2018-07-09 01:10:00,Emmy,None,14.0,10.0
877736472329191424,2017-06-22 00:00:00,2018-07-09 03:54:00,Aja,None,13.0,10.0
877556246731214848,2017-06-21 00:00:00,2018-07-09 15:58:00,Penny,None,12.0,10.0
877316821321428993,2017-06-21 00:00:00,2018-07-09 00:06:00,Dante,None,13.0,10.0
877201837425926144,2017-06-20 00:00:00,2018-07-09 16:29:00,Nelly,None,12.0,10.0
876838120628539392,2017-06-19 00:00:00,2018-07-09 16:24:00,Ginger,pupper,12.0,10.0
876537666061221889,2017-06-18 00:00:00,2018-07-09 20:30:00,None,None,14.0,10.0
876484053909872640,2017-06-18 00:00:00,2018-07-09 16:57:00,Benedict,None,13.0,10.0
876120275196170240,2017-06-17 00:00:00,2018-07-09 16:52:00,Venti,None,13.0,10.0
875747767867523072,2017-06-16 00:00:00,2018-07-09 16:11:00,Goose,None,13.0,10.0
875144289856114688,2017-06-15 00:00:00,2018-07-09 00:13:00,Nugget,None,13.0,10.0
875097192612077568,2017-06-14 00:00:00,2018-07-09 21:06:00,None,None,13.0,10.0
875021211251597312,2017-06-14 00:00:00,2018-07-09 16:04:00,None,None,12.0,10.0
874680097055178752,2017-06-13 00:00:00,2018-07-09 17:29:00,Cash,None,12.0,10.0
874296783580663808,2017-06-12 00:00:00,2018-07-09 16:06:00,Jed,pupper,13.0,10.0
874057562936811520,2017-06-12 00:00:00,2018-07-09 00:15:00,None,None,12.0,10.0
874012996292530176,2017-06-11 00:00:00,2018-07-09 21:18:00,Sebastian,puppo,13.0,10.0
873580283840344065,2017-06-10 00:00:00,2018-07-09 16:39:00,None,None,13.0,10.0
873213775632977920,2017-06-09 00:00:00,2018-07-09 16:22:00,Sierra,pupper,12.0,10.0
872967104147763200,2017-06-09 00:00:00,2018-07-09 00:02:00,None,doggo,12.0,10.0
872820683541237760,2017-06-08 00:00:00,2018-07-09 14:20:00,None,None,13.0,10.0
872620804844003328,2017-06-08 00:00:00,2018-07-09 01:06:00,Monkey,None,13.0,10.0
872486979161796608,2017-06-07 00:00:00,2018-07-09 16:14:00,None,None,12.0,10.0
872261713294495745,2017-06-07 00:00:00,2018-07-09 01:19:00,Harry,None,13.0,10.0
872122724285648897,2017-06-06 00:00:00,2018-07-09 16:07:00,Kody,None,12.0,10.0
871879754684805121,2017-06-06 00:00:00,2018-07-09 00:01:00,Lassie,None,13.0,10.0
871762521631449091,2017-06-05 00:00:00,2018-07-09 16:15:00,Rover,pupper,12.0,10.0
871515927908634625,2017-06-04 00:00:00,2018-07-09 23:56:00,Napolean,doggo,12.0,10.0
871102520638267392,2017-06-03 00:00:00,2018-07-09 20:33:00,None,doggo,14.0,10.0
871032628920680449,2017-06-03 00:00:00,2018-07-09 15:55:00,Boomer,None,13.0,10.0
870804317367881728,2017-06-03 00:00:00,2018-07-09 00:48:00,None,None,11.0,10.0
870726314365509632,2017-06-02 00:00:00,2018-07-09 19:38:00,None,None,10.0,10.0
870656317836468226,2017-06-02 00:00:00,2018-07-09 15:00:00,Cody,None,13.0,10.0
870374049280663552,2017-06-01 00:00:00,2018-07-09 20:18:00,Zoey,None,13.0,10.0
870308999962521604,2017-06-01 00:00:00,2018-07-09 16:00:00,Rumble,None,13.0,10.0
870063196459192321,2017-05-31 00:00:00,2018-07-09 23:43:00,Clifford,None,14.0,10.0
869772420881756160,2017-05-31 00:00:00,2018-07-09 04:27:00,Dewey,None,13.0,10.0
869702957897576449,2017-05-30 00:00:00,2018-07-09 23:51:00,Stanley,None,13.0,10.0
869596645499047938,2017-05-30 00:00:00,2018-07-09 16:49:00,Scout,doggo,12.0,10.0
869227993411051520,2017-05-29 00:00:00,2018-07-09 16:24:00,Gizmo,None,13.0,10.0
868880397819494401,2017-05-28 00:00:00,2018-07-09 17:23:00,Walter,None,14.0,10.0
868622495443632128,2017-05-28 00:00:00,2018-07-09 00:18:00,None,None,13.0,10.0
868552278524837888,2017-05-27 00:00:00,2018-07-09 19:39:00,Cooper,None,12.0,10.0
867900495410671616,2017-05-26 00:00:00,2018-07-09 00:29:00,None,None,12.0,10.0
867774946302451713,2017-05-25 00:00:00,2018-07-09 16:10:00,Harold,None,13.0,10.0
867421006826221569,2017-05-24 00:00:00,2018-07-09 16:44:00,Shikha,puppo,12.0,10.0
867051520902168576,2017-05-23 00:00:00,2018-07-09 16:16:00,None,None,13.0,10.0
866720684873056260,2017-05-22 00:00:00,2018-07-09 18:21:00,None,None,13.0,10.0
866686824827068416,2017-05-22 00:00:00,2018-07-09 16:06:00,Lili,None,12.0,10.0
866450705531457537,2017-05-22 00:00:00,2018-07-09 00:28:00,Jamesy,pupper,13.0,10.0
866334964761202691,2017-05-21 00:00:00,2018-07-09 16:48:00,Coco,None,12.0,10.0
865718153858494464,2017-05-19 00:00:00,2018-07-09 23:57:00,Boomer,None,13.0,10.0
865359393868664832,2017-05-19 00:00:00,2018-07-09 00:12:00,Sammy,None,13.0,10.0
865006731092295680,2017-05-18 00:00:00,2018-07-09 00:50:00,Nelly,None,13.0,10.0
864873206498414592,2017-05-17 00:00:00,2018-07-09 16:00:00,None,None,14.0,10.0
864279568663928832,2017-05-16 00:00:00,2018-07-09 00:41:00,Meatball,None,12.0,10.0
